T23p0627a06	xu	序
T23p0627c26	pj1	不淨行
T23p0632b28	pj1a	不淨行之二
T23p0635c23	pj2	不與取
T23p0638b05	pj2a	不與取
T23p0642b23	pj2b	不與取之二
T23p0647b12	pj2c	不與取之三
T23p0652c07	pj3	斷人命
T23p0658b09	pj3a	斷人命之二
T23p0663c17	pj3b	斷人命之三
T23p0668c18	pj4	妄說自得上人法
T23p0675a10	pj4a	妄說自得上人法之二
T23p0680b24	ss1	故泄精
T23p0681c18	ss2	觸女
T23p0684a15	ss3	說鄙惡語
T23p0685a24	ss4	索供養
T23p0685c23	ss5	媒嫁
T23p0688a18	ss6	造小房
T23p0689a24	ss7	造大寺
T23p0691b11	ss8	無根謗
T23p0699b16	ss9	假根謗
T23p0700a29	ss10	破僧違諫
T23p0704b27	ss11	隨順破僧違諫
T23p0705a09	ss12	污家
T23p0707a24	ss13	惡性違諫
T23p0710a24	ay1	不定
T23p0710c01	ay2	不定
T23p0711a28	nc1	有長衣不分別
T23p0712b08	nc2	離三衣
T23p0714c27	nc3	一月衣
T23p0716a22	nc4	使非親尼浣故衣
T23p0717c06	nc4a	使非親尼浣故衣之二
T23p0722b13	nc5	從非親尼取衣
T23p0723c06	nc5a	從非親尼取衣之二
T23p0728a21	nc6	從非親居士乞衣
T23p0729c27	nc7	過量乞衣
T23p0731b14	nc8	知俗人共許與衣就乞
T23p0733a01	nc9	知俗人別許與衣就乞
T23p0733a13	nc10	過限索衣
T23p0735c02	nc11	用野蠶絲作敷具
T23p0736a10	nc12	用純黑羊毛作敷具
T23p0736b02	nc13	過分數作敷具
T23p0736b22	nc14	作減六年敷具
T23p0737a25	nc15	作新敷具不為壞色
T23p0738a09	nc16	自擔負羊毛
T23p0739a19	nc17	使非親尼治羊毛
T23p0740a18	nc18	捉金銀等
T23p0741c21	nc19	出納求利
T23p0743c13	nc20	販賣
T23p0744a07	nc21	得長缽過十日不分別
T23p0744b21	nc22	乞缽
T23p0746b04	nc23	自乞縷使非親族織師織作衣
T23p0748b08	nc24	勸織師
T23p0749c14	nc25	奪衣
T23p0750c26	nc26	急難施衣
T23p0755a12	nc27	阿蘭若六夜
T23p0757a02	nc28	預前求過後用雨浴衣
T23p0757a27	nc29	迴眾物入己
T23p0759b03	nc30	服過七日藥

T23p0760b15	pc1	故妄語
T23p0763c02	pc2	毀呰語
T23p0766a06	pc2a	毀訾語之二
T23p0767c19	pc3	離間語
T23p0770a12	pc4	發舉
T23p0770b23	pc5	獨與女人說法過五六語
T23p0771c07	pc6	與未圓具人同句讀誦
T23p0772a24	pc7	向未圓具人說麤罪
T23p0773c14	pc8	實得上人法向未圓具人說
T23p0774b26	pc9	謗迴眾利物
T23p0775a20	pc10	輕呵戒
T23p0775c10	pc11	壞生種
T23p0777a21	pc12	嫌毀輕賤
T23p0778a20	pc13	違惱言教
T23p0779c12	pc14	在露地安僧敷具
T23p0783a13	pc14a	不舉敷具
T23p0783c11	pc15	不舉草敷具
T23p0785c22	pc16	強牽苾芻出僧房
T23p0786c16	pc17	強惱觸他
T23p0788b26	pc18	故放身坐臥脫腳床
T23p0789b08	pc19	用蟲水
T23p0789c06	pc20	造大寺過限
T23p0792a13	pc21	眾不差教授苾芻尼
T23p0794a26	pc21a	眾不差輒教授苾芻尼之二
T23p0799c22	pc21b	眾不差輒教授苾芻尼之三
T23p0803c24	pc22	教授苾芻尼至日暮
T23p0804b25	pc23	謗他為飲食故教授苾芻尼
T23p0805a05	pc24	與非親苾芻尼衣
T23p0805b27	pc25	與非親苾芻尼作衣
T23p0806a18	pc26	與苾芻尼同道行
T23p0807a17	pc27	與苾芻尼同乘一船
T23p0807b24	pc28	獨與女人在屏處坐
T23p0808a07	pc29	與苾芻尼屏處坐
T23p0808b03	pc30	知苾芻尼讚歎得食
T23p0810c23	pc31	展轉食
T23p0816a13	pc32	施一食處過受
T23p0819b06	pc33	過三缽受食
T23p0821a23	pc34	足食
T23p0822c10	pc35	勸他足食
T23p0823b12	pc36	別眾食
T23p0824b07	pc37	非時食
T23p0824c20	pc38	食曾觸食
T23p0825a25	pc39	不受食
T23p0827b19	pc40	索美食
T23p0828b15	pc41	受用蟲水
T23p0828c11	pc42	知有食家強坐
T23p0829a13	pc43	知有食家強立
T23p0829b04	pc44	與無衣外道男女食
T23p0831a13	pc45	觀軍
T23p0831c16	pc46	軍中過二宿
T23p0832b10	pc47	擾亂軍兵
T23p0832c22	pc48	打苾芻
T23p0833b06	pc49	擬手向苾芻
T23p0833b26	pc50	覆藏他罪
T23p0834a25	pc51	共至俗家不與食
T23p0835a02	pc52	觸火
T23p0837c28	pc53	與欲已更遮
T23p0838c07	pc54	與未近圓人同室宿過二夜
T23p0840b20	pc55	不捨惡見違諫
T23p0841b05	pc56	隨捨置人
T23p0841b27	pc57	攝受惡見不捨求寂
T23p0842c26	pc58	著不壞色衣
T23p0845b06	pc59	捉寶
T23p0847a18	pc60	非時洗浴
T23p0847c18	pc61	殺傍生
T23p0848a17	pc62	故惱苾芻
T23p0848c19	pc63	以指擊擽
T23p0849a07	pc64	水中戲
T23p0849b25	pc65	與女人同室宿
T23p0850c06	pc66	恐怖苾芻
T23p0851a17	pc67	藏他苾芻等衣缽
T23p0851b25	pc68	受他寄衣不問主輒著
T23p0851c20	pc69	以眾教罪謗清淨苾芻
T23p0852b11	pc70	與女人同道行
T23p0852c14	pc71	與賊同行
T23p0853a08	pc72	與減年者受近圓
T23p0854a06	pc73	壞生地
T23p0854b16	pc74	過四月索食
T23p0855b10	pc75	遮傳教
T23p0855c19	pc76	默聽鬥諍
T23p0856b17	pc77	不與欲默然起去
T23p0856c21	pc78	不恭敬
T23p0857a13	pc79	飲酒
T23p0860a17	pc80	非時入聚落不囑授苾芻
T23p0860c12	pc80a	非時入聚落不囑苾芻第二
T23p0865c28	pc81	食前食後行詣餘家不囑授
T23p0866c06	pc82	入王宮門
T23p0871c06	pc82a	入王宮門
T23p0877c24	pc82b	入王宮門
T23p0883c27	pc82c	入王宮門
T23p0889a12	pc82d	入王宮門
T23p0893c18	pc83	詐言不知
T23p0894a16	pc84	作針筒
T23p0894b17	pc85	作過量床
T23p0895b27	pc86	用草木綿貯床
T23p0895c17	pc87	過量作尼師但那
T23p0896a14	pc88	作覆瘡衣
T23p0896a22	pc89	作雨浴衣
T23p0897a06	pc90	同佛衣量作衣
T23p0897a22	pd1	從非親尼受食
T23p0899b19	pd2	受苾芻尼指授食
T23p0900a08	pd3	學家受食
T23p0900c22	pd4	阿蘭若住處外受食
T23p0901b16	sk	眾學法
T23p0904b05	as	滅諍法
