T23p0907c27	ipj1	不淨行
T23p0918a26	ipj2	不與取
T23p0923b13	ipj3	斷人命
T23p0926b16	ipj4	妄說自得上人法
T23p0929a28	ipj5	摩觸
T23p0930b06	ipj6	八事成犯
T23p0930c28	ipj7	覆藏他罪
T23p0931a20	ipj8	被舉人
T23p0931c12	iss1	媒嫁
T23p0933c14	iss2	無根謗
T23p0934a05	iss3	假根謗
T23p0934b16	iss4	共染心男子交易
T23p0934c13	iss5	自言無過
T23p0934c29	iss6	獨向俗家宿
T23p0935a25	iss7	獨向俗家
T23p0935b10	iss8	獨在道行
T23p0935b26	iss9	獨渡河
T23p0935c11	iss10	度他婦女
T23p0936b03	iss11	索亡人物
T23p0936c06	iss12	輒作解舉
T23p0937a03	iss13	不捨惡見
T23p0937c06	iss14	說他有愛恚
T23p0938b07	iss15	雜亂住
T23p0938c28	iss16	勸莫獨住
T23p0939b18	iss17	破僧伽
T23p0940a25	iss18	助伴破僧伽
T23p0940c15	iss19	污家
T23p0942c02	iss20	惡性違諫
T23p0943b11	inp1	有長衣不分別
T23p0944a18	inp2	離五衣
T23p0946b16	inp3	一月衣
T23p0947c08	inp4	與非親苾芻浣故衣
T23p0953c12	inp5	從非親苾芻取衣
T23p0955b22	inp6	從非親居士乞衣
T23p0956a04	inp7	過量乞衣
T23p0956b05	inp8	知俗人共許與衣就乞
T23p0956c14	inp9	知俗人別許與衣就乞
T23p0956c26	inp10	過限索衣
T23p0958a02	inp11	捉寶
T23p0959a16	inp12	出納求利
T23p0960c18	inp13	販賣
T23p0961a04	inp14	乞缽
T23p0961c03	inp15	自乞縷使非親織師織作衣
T23p0961c19	inp16	勸織師
T23p0962a14	inp17	奪衣
T23p0962b14	inp18	迴眾物入已
T23p0962c28	inp19	服過七日藥
T23p0963c11	inp20	畜長缽
T23p0964a09	inp21	不看五衣
T23p0964a23	inp22	非時捨衣
T23p0964b11	inp23	依時不捨羯恥那衣
T23p0964b19	inp24	乞金
T23p0964c09	inp25	以衣染直充食
T23p0965a02	inp26	以別衣利充食
T23p0965a18	inp27	以臥具利充食
T23p0965b05	inp28	營寺安居利充食
T23p0965b20	inp29	得多人利迴入己
T23p0965b28	inp30	得僧祇利物迴入己
T23p0965c11	inp31	買藥解繫
T23p0965c23	inp32	持貴價重衣
T23p0966a14	inp33	持貴價輕衣
T23p0966b03	ipc1	故妄語
T23p0968a26	ipc2	毀訾語
T23p0971b02	ipc3	離間語
T23p0971c02	ipc4	發舉
T23p0972a06	ipc5	獨與男子說法過五六語
T23p0972a21	ipc6	與未近圓人同句讀誦
T23p0972b15	ipc7	向未圓具說麤罪
T23p0973b17	ipc8	實得上人法向未圓具人說
T23p0973b29	ipc9	謗迴眾利物
T23p0973c15	ipc10	輕訶戒
T23p0974a23	ipc11	壞生種
T23p0975a09	ipc12	嫌毀輕賤
T23p0975a29	ipc13	違惱言教
T23p0975c05	ipc14	在露地安僧敷具
T23p0976c21	ipc15	不舉草敷具
T23p0977a22	ipc16	強惱觸他
T23p0977b10	ipc17	故放身坐臥脫腳床
T23p0977c08	ipc18	用蟲水
T23p0977c20	ipc19	造大寺過限
T23p0978a08	ipc20	過一宿食
T23p0978b11	ipc21	過三缽受食
T23p0978c27	ipc22	足食
T23p0980a18	ipc23	勸他足食
T23p0980b18	ipc24	別眾食
T23p0981a02	ipc25	非時食
T23p0981a18	ipc26	食曾觸食
T23p0981b11	ipc27	不受食
T23p0982a04	ipc28	飲蟲水
T23p0982a23	ipc29	與無衣外道男女食
T23p0982c06	ipc30	觀軍
T23p0983a01	ipc31	軍中過二夜宿
T23p0983a20	ipc32	擾亂軍兵
T23p0983b06	ipc33	打苾芻尼
T23p0983b28	ipc34	擬手向苾芻尼
T23p0983c07	ipc35	覆藏他罪
T23p0984a01	ipc36	共至俗家不與食
T23p0984a20	ipc37	觸火
T23p0985c08	ipc38	與欲已更遮
T23p0985c25	ipc39	與未近圓人同室宿過二夜
T23p0986b16	ipc40	不捨惡見違諫
T23p0986c26	ipc41	隨捨置人
T23p0987a15	ipc42	攝受惡見不捨求寂女
T23p0987c29	ipc43	著不壞色衣
T23p0988b02	ipc44	捉寶
T23p0988c08	ipc45	非時洗浴
T23p0989a19	ipc46	殺傍生
T23p0989b04	ipc47	故惱苾芻尼
T23p0989c19	ipc48	以指擊擽他
T23p0989c28	ipc49	水中戲
T23p0990b04	ipc50	與男子同室宿
T23p0990c10	ipc51	恐怖苾芻尼
T23p0991a08	ipc52	藏他苾芻尼等衣缽
T23p0991b02	ipc53	以眾教罪謗清淨苾芻尼
T23p0991b19	ipc54	與男子同道行
T23p0991c13	ipc55	與賊同行
T23p0991c26	ipc56	壞生地
T23p0992a27	ipc57	過四月索食
T23p0992c04	ipc58	遮傳教
T23p0993a06	ipc59	默聽鬥諍
T23p0993b04	ipc60	不與欲默然起去
T23p0993c01	ipc61	不恭敬
T23p0993c16	ipc62	飲酒
T23p0994b15	ipc63	非時入聚落不囑授苾芻尼
T23p0994c24	ipc64	受食前食後請
T23p0995a27	ipc65	入王宮
T23p0995b29	ipc66	詐言不知
T23p0995c24	ipc67	作針筒
T23p0996a15	ipc68	作過量床
T23p0996b09	ipc69	用草木綿貯床
T23p0996b21	ipc70	過量作尼師但那
T23p0996c12	ipc71	作覆瘡衣
T23p0996c20	ipc72	同佛衣量作衣
T23p0997a08	ipc73	噉蒜
T23p0997c11	ipc74	剃隱處毛
T23p0997c26	ipc75	洗淨不過量
T23p0998a15	ipc76	以手拍隱處
T23p0998a26	ipc77	自手煮生食
T23p0998b21	ipc78	水灑上眾
T23p0998c14	ipc79	生草上大小便
T23p0999a04	ipc80	以不淨棄牆外
T23p0999b10	ipc81	獨與男子屏處立
T23p0999b22	ipc82	獨與苾芻屏處立
T23p0999c05	ipc83	獨與男子露處立
T23p0999c16	ipc84	獨與苾芻露處立
T23p0999c25	ipc85	獨住一房
T23p1000a20	ipc86	共男子耳語
T23p1000b03	ipc87	受男子耳語
T23p1000b12	ipc88	共苾芻耳語
T23p1000b21	ipc89	受苾芻耳語
T23p1000b28	ipc90	椎胸
T23p1000c12	ipc91	咒誓
T23p1000c28	ipc92	不觀詰他
T23p1001a16	ipc93	不觀床座坐臥
T23p1001b04	ipc94	以樹膠作生支
T23p1002a21	ipc95	白衣家說法不囑授臥具
T23p1002b07	ipc96	未許輒坐
T23p1002b24	ipc97	不問主人輒宿
T23p1002c16	ipc98	知尼先在白衣家後令他去
T23p1003a04	ipc99	弟子有病不瞻視
T23p1003a17	ipc100	二尼同一床臥
T23p1003b09	ipc101	安居未隨意遊行
T23p1003b23	ipc102	安居滿不遊行
T23p1003c04	ipc103	知有怖遊行
T23p1003c19	ipc104	知有虎狼師子遊行
T23p1003c27	ipc105	往天祠論議
T23p1004a10	ipc106	年未滿與他出家授近圓
T23p1004a22	ipc107	輒畜弟子
T23p1004b28	ipc108	知曾嫁女人年未滿十二與出家
T23p1005b01	ipc109	年滿十二不與正學法授近圓
T23p1005b10	ipc110	輒多畜眾
T23p1005c25	ipc111	與有娠女
T23p1006a06	ipc112	不教誡
T23p1006a20	ipc113	不攝護
T23p1006b04	ipc114	不將隨身
T23p1006b25	ipc115	童女年未滿二十受近圓
T23p1006c11	ipc116	不授六學法授近圓
T23p1006c21	ipc117	度惡性女人
T23p1007a15	ipc118	度多憂女人
T23p1007b01	ipc119	學法未滿與受近圓
T23p1007b13	ipc120	知學法了不與受近圓
T23p1007b29	ipc121	夫未放度出家
T23p1007c20	ipc122	從索衣
T23p1008a05	ipc123	令他女人收斂家業
T23p1008a29	ipc124	每年與出家受近圓
T23p1008b21	ipc125	經宿與欲
T23p1008c04	ipc126	求教授
T23p1008c17	ipc127	無苾芻處作長淨
T23p1009a01	ipc128	無苾芻處作安居
T23p1009a15	ipc129	不於二部眾三事作隨意
T23p1009b01	ipc130	責眾
T23p1009b15	ipc131	罵眾
T23p1009b27	ipc132	見他讚譽起嫉妒心
T23p1009c12	ipc133	於家慳
T23p1009c24	ipc134	於寺慳
T23p1010a07	ipc135	於利養飲食慳
T23p1010b12	ipc136	慳法
T23p1010b29	ipc137	食竟更食
T23p1010c11	ipc138	養他孩兒
T23p1011a02	ipc139	不畜洗裙
T23p1011a10	ipc140	令浣衣人洗衣
T23p1011a24	ipc141	共上眾換衣
T23p1011b12	ipc142	輒與俗人衣
T23p1011b27	ipc143	不畜病衣
T23p1011c09	ipc144	大眾病衣私用
T23p1011c21	ipc145	從貧乞羯恥那衣
T23p1012a08	ipc146	不共出衣
T23p1012a20	ipc147	不共分衣
T23p1012a29	ipc148	見鬥不勸止息
T23p1012b11	ipc149	棄住處不囑授
T23p1012b22	ipc150	從俗人受咒
T23p1012c07	ipc151	教俗人咒法
T23p1012c20	ipc152	賣糗食
T23p1013a05	ipc153	營俗家務
T23p1013a27	ipc154	移轉座床
T23p1013b10	ipc155	自手撚縷
T23p1013b25	ipc156	自織絡
T23p1013b29	ipc157	持蓋行
T23p1013c10	ipc158	著彩色鞋履
T23p1013c21	ipc159	有瘡令數解繫
T23p1014a08	ipc160	度婬女
T23p1014a21	ipc161	使苾芻尼揩身
T23p1014b01	ipc162	165使正學女等揩身
T23p1014b13	ipc166	167以香塗身首
T23p1014c07	ipc168	以胡麻滓及水揩身
T23p1014c10	ipc169	先未容許輒問
T23p1014c27	ipc170	著俗莊嚴具
T23p1015a12	ipc171	相牽洗浴
T23p1015a23	ipc172	自舞教他舞
T23p1015b06	ipc173	唱歌
T23p1015b15	ipc174	作樂
T23p1015b24	ipc175	獨於空宅大小便
T23p1015c10	ipc176	畜香草刷
T23p1015c20	ipc177	畜細篦
T23p1015c29	ipc178	畜麤梳
T23p1016a02	ipc179	用前三事
T23p1016a04	ipc180	畜假髻莊具
T23p1017b11	isk	眾學法
T23p1019c02	ias	滅諍法
