^:<name=pc caption=單墮對照 keytype=serial>pli=number	msg=number	dg=number	msk=number	db=number	msv=number	label=string
1	1	1	1	1	1	小妄語戒
2	2	2	2	2	2	罵戒
3	3	3	3	3	3	兩舌戒
63	4	66	5	4	4	發諍戒
7	5	9	4	5	5	與女人說法過限戒
4	6	6	6	6	6	與未受具人同誦戒
8	7	8	8	7	8	實得道向未受具者說戒
9	8	7	9	8	7	向非受具人說粗罪戒
81	9	74	80	9	9	同羯磨後悔戒
72	10	72	10	10	10	毀毘尼戒
11	11	11	11	11	11	壞生種戒
12	12	12	12	13	13	異語惱僧戒
13	13	13	13	12	12	嫌罵僧知事戒
14	14	14	14	14	14	露敷僧物戒
15	15	15	15	15	15	覆處敷僧物戒
17	16	17	16	16	16	牽他出房戒
16	17	16	17	17	17	強敷戒
18	18	18	18	18	18	坐脫腳牀戒
20	19	19	20	19	19	用蟲水戒
19	20	20	19	20	20	覆屋過三節戒
21	21	21	21	21	21	輒教尼戒
22	22	22	22	22	22	與尼說法至日暮戒
23	23	0	23	0	0	比丘尼住處戒
24	24	23	24	23	23	譏教尼人戒
30	25	26	25	28	29	獨與尼屏露坐戒
27	26	27	28	24	26	與尼期行戒
28	27	28	29	25	27	與尼同船戒
25	28	24	26	26	24	與非親尼衣戒
26	29	25	27	27	25	與非親尼作衣戒
29	30	29	30	30	30	食尼歎食戒
31	31	31	33	32	32	施一食處過受戒
33	32	32	31	31	31	展轉食戒
35	33	35	35	34	34	足食戒
36	34	36	36	35	35	勸足食戒
40	35	39	37	39	39	不受食戒
37	36	37	38	37	37	非時食戒
38	37	38	39	38	38	食殘宿戒
34	38	34	34	33	33	取歸婦賈客食戒
39	39	40	41	40	40	索美食戒
32	40	33	32	36	36	別眾食戒
56	41	57	68	52	52	露地燃火戒
5	42	5	7	54	54	共未受具人宿過限戒
79	43	76	79	53	53	與欲後悔戒
42	44	46	76	44	51	驅他出聚戒
68	45	68	48	55	55	惡見違諫戒
69	46	69	49	56	56	隨舉戒
70	47	70	50	57	57	隨擯沙彌戒
58	48	60	77	59	58	著新衣戒
84	49	82	69	58	59	捉寶戒
57	50	56	70	60	60	半月浴過戒
62	51	62		41	41	飲蟲水戒
41	52	41	40	44	44	與外道食戒
43	53	43	42	42	42	食家強坐戒
44	54	44	43	43	43	屏與女坐戒
48	55	48	45	45	45	觀軍戒
49	56	49	46	46	46	有緣軍中過限戒
50	57	50	47	47	47	觀模擬戰戒
74	58	78	71	48	48	瞋打比丘戒
75	59	79	72	49	49	搏比丘戒
64	60	64	74	50	50	覆他粗罪戒
61	61	61	51	61	61	奪畜生命戒
77	62	63	52	62	62	疑惱比丘戒
59	63	59	81	68	68	淨施衣不語取戒
60	64	58	78	67	67	藏他衣缽戒
55	65	55	73	66	66	怖比丘戒
53	66	52	55	64	64	水中戲戒
52	67	53	54	63	63	擊攊戒
67	68	30	67	70	70	與女人期行戒
6	69	4	56	65	65	與女人共宿戒
45	70	45	44	29	28	獨與女人（露或屏處）坐戒
65	71	65	61	72	72	未成年者授具足戒
66	72	67	66	71	71	與賊期行戒
10	73	10	59	73	73	掘地戒
47	74	47	62	74	74	過受四月藥請戒
71	75	71	63	75	75	拒勸學戒
51	76	51	57	79	79	飲酒戒
54	77	54	58	78	78	不受諫戒
78	78	77	60	76	76	屏聽四諍戒
80	79	75	53	77	77	不與欲戒
85	80	83	83	80	80	非時入村落戒
46	81	42	82	81	81	不囑同利入村落戒
83	82	81	65	82	82	突入王宮戒
86	83	86	86	84	84	骨牙針筒戒
87	84	84	85	85	85	過量床足戒
88	85	85	84	86	86	貯綿床褥戒
89	86	87	87	89	87	過量坐具戒
90	87	88	88	88	88	過量覆瘡衣戒
91	88	89	89	87	89	過量雨浴衣戒
92	89	90	90	90	90	與佛等量作衣戒
76	90	80	75	69	69	無根僧殘謗戒
82	91		91			迴與僧物戒
73	92	73	64	83	83	無知毘尼戒
